,price,bedrooms,bathrooms,size
80,430000,3,2.0,1620
81,1150000,3,2.0,1292
83,2322000,4,2.0,2304
84,1599999,3,2.0,1569
85,2649500,4,2.5,2762
86,1349000,4,2.0,2101
87,175000,2,1.0,800
88,1499000,3,3.0,2113
89,300000,2,2.0,1680
90,1688888,5,2.5,2697
91,7200000,4,2.5,3878
92,1750000,3,3.0,2122
93,895000,3,2.5,1668
94,1750000,5,2.0,2021
95,1399000,4,3.5,2386
96,765000,3,2.5,1740
97,2948000,6,4.5,3144
98,1598888,4,2.0,1321
99,1350000,3,2.0,1108
100,1025000,5,4.0,2003
101,1388000,3,2.0,1634
102,595000,1,1.0,720
103,1170000,3,2.0,1040
104,2650000,10,6.0,3961
106,999000,3,2.5,1360
107,860000,2,2.0,1311
108,1399000,4,3.0,1789
109,799999,2,2.0,1041
110,499000,2,1.0,994
111,291000,2,2.0,1423
112,998000,4,3.5,2671
113,1598000,4,3.0,2216
114,1250000,3,2.5,1470
115,599000,3,2.0,1308
116,1249999,2,2.5,1459
117,1498000,3,3.5,1600
118,292000,2,2.0,1096
119,954000,6,3.0,3164
120,4177000,4,4.5,3745
121,640000,3,2.0,1293
122,600000,2,1.0,1138
123,1475000,5,3.0,2771
124,998000,3,2.5,1658
125,9399000,5,4.0,6308
126,1338888,3,1.0,1315
127,649000,3,2.0,1032
128,1090000,4,2.0,1687
129,690000,3,2.0,974
130,998000,2,2.0,1371
131,2300000,3,2.5,3288
132,685000,3,2.5,1724
133,849000,2,1.0,1410
134,599000,3,1.5,1323
135,2199000,4,2.5,2317
136,399000,2,1.0,980
137,1199000,3,3.0,1150
138,998000,2,1.0,776
139,2275000,4,2.5,2673
140,2599000,4,2.0,2884
141,1698000,3,2.5,1798
142,999900,4,2.0,1283
143,1199000,3,2.5,1546
144,7198000,4,4.5,4831
145,1229888,3,1.5,1037
146,1395888,4,2.5,2293
147,3095000,3,3.5,2044
148,1399000,3,2.0,1080
149,2398000,4,3.0,2130
150,1625000,5,3.0,3328
151,899000,3,2.5,1163
152,3595000,3,2.0,2114
153,4995000,4,3.0,2591
154,799900,1,1.0,1012
155,4788000,4,5.5,3157
156,2100000,3,1.0,1476
157,2099000,4,2.0,1903
158,1275000,4,2.0,1342
159,999000,3,1.0,851
160,1598888,3,2.5,2201
161,2498000,3,2.0,1683
162,995000,3,3.0,1888
163,3288000,4,2.5,1868
164,599000,2,1.0,997
165,1428880,4,2.0,1843
166,2225000,4,2.5,2288
167,730000,2,2.0,1193
168,1569950,3,2.5,1728
169,2249000,1,1.5,1156
170,1799000,4,2.5,2048
171,549000,3,1.5,1404
172,770000,3,2.0,1397
173,829000,3,2.0,1354
174,1175000,2,2.5,1641
175,1488888,3,3.0,1743
176,1798000,4,2.0,1785
177,1050000,3,2.0,1232
178,275000,2,2.0,1440
179,4995000,4,3.5,3588
180,1699000,4,2.5,2060
181,5195000,5,3.5,3900
182,1258000,4,2.0,1345
183,395000,3,2.0,1643
184,865000,3,2.5,1508
185,1549000,5,3.0,2236
186,2850000,4,2.0,1607
187,2190000,3,2.0,1952
188,2388000,5,3.0,2338
190,1799000,3,2.0,1584
191,3899000,5,3.5,3782
192,928000,2,2.5,1334
193,1829000,4,4.0,2856
194,6200000,5,6.0,6295
195,1799950,3,2.0,2909
196,599000,3,1.0,1176
197,3195000,4,2.5,2794
198,836900,3,3.0,1410
199,1798000,3,2.0,1248
200,775000,2,2.0,1146
201,1698000,3,2.0,1408
203,786800,3,3.0,1410
204,1049000,3,2.0,1281
205,2599000,3,3.0,2457
206,1395000,3,2.0,1625
207,1501995,3,2.5,1948
208,940000,3,1.75,1526
209,1395000,2,2.0,1545
210,535000,2,2.0,1212
211,3700000,3,3.0,2814
212,1649000,3,2.0,2298
213,1098000,2,1.0,1087
214,1798000,3,2.0,1008
215,1348000,2,2.0,1437
216,685000,3,2.0,1287
217,1295000,5,3.0,3072
218,1399950,4,2.5,1867
219,1388888,4,2.5,2221
220,1988000,3,2.0,1266
221,3188000,5,4.0,3226
222,598000,3,1.5,1150
223,2225000,5,3.0,3367
224,1178000,2,2.0,1310
